[2025-08-19 21:08:43] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:22:06] Missing/Bad CSRF on /kraken-antibot/protection/admin/blocked.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:22:19] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:22:22] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:22:27] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:23:08] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:23:09] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:23:10] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:23:10] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 21:24:30] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 22:13:56] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_setting.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 22:14:18] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 22:14:19] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 22:14:20] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 22:14:21] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 22:14:23] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-19 22:14:24] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
